"occ_code","occ_title","current_employment","annual_openings","projected_growth_pct","annual_mean_wage","median_wage","entry_edu","opportunity_label","opportunity_score"
"31-1120","Home Health and Personal Care Aides",4305810,765800,17,36120,34900,"High school diploma or equivalent","High Opportunity",629.5
"35-3023","Fast Food and Counter Workers",3854050,904300,6.1,32150,30480,"No formal educational credential","Moderate Opportunity",603.6
"49-9081","Wind Turbine Service Technicians",9980,2300,49.9,68980,62580,"Postsecondary nondegree award","Stable",500.4
"47-2231","Solar Photovoltaic Installers",31350,4100,42.1,57900,51860,"High school diploma or equivalent","Stable",423.5
"29-1171","Nurse Practitioners",323040,29500,40.1,137300,129210,"Master's degree","Moderate Opportunity",418.7
"53-7065","Stockers and Order Fillers",2833810,472300,8.5,39540,37090,"No formal educational credential","Moderate Opportunity",368.4
"15-2051","Data Scientists",262440,23400,33.5,126800,112590,"Bachelor's degree","Stable",349.0
"41-2031","Retail Salespersons",3897860,555800,-0.5,37310,34580,"No formal educational credential","Low Opportunity",328.5
"35-2014","Cooks, Restaurant",1409890,250700,14.9,38730,36830,"No formal educational credential","High Opportunity",299.4
"15-1212","Information Security Analysts",190650,16000,28.5,132510,124910,"Bachelor's degree","Stable",294.6
"35-3031","Waiters and Waitresses",2270910,456700,-0.7,40060,33760,"No formal educational credential","Low Opportunity",267.0
"53-7062","Laborers and Freight, Stock, and Material Movers, Hand",2950280,384300,1.5,42260,38940,"No formal educational credential","Stable",245.6
"31-2021","Physical Therapist Assistants",112430,19800,22,68730,65510,"Associate's degree","Stable",231.9
"37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2209760,351300,2,38760,35930,"No formal educational credential","Stable",230.8
"11-1021","General and Operations Managers",3503020,308700,4.4,134940,102950,"Bachelor's degree","Stable",229.2
"15-1252","Software Developers",1687890,115200,15.8,148100,133080,"Bachelor's degree","High Opportunity",227.1
"41-2011","Cashiers",3089410,542600,-9.9,33180,31190,"No formal educational credential","Declining",226.6
"15-2031","Operations Research Analysts",108510,9600,21.5,99730,91290,"Bachelor's degree","Stable",220.8
"15-2011","Actuaries",26670,2400,21.8,141480,125770,"Bachelor's degree","Stable",219.4
"29-1071","Physician Assistants",162150,12000,20.4,141280,133260,"Master's degree","Stable",211.2
"29-2053","Psychiatric Technicians",156960,15900,20,46610,42590,"Postsecondary nondegree award","Stable",209.5
