AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,155495730,0,,,,,33.54,69770,0.1,15,18.07,24.51,38.71,61.81,"31,200","37,590","50,980","80,520","128,560",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,11132700,0.2,,,,,69.84,145260,0.2,28.91,39.89,60.83,84.75,123.71,"60,130","82,970","126,520","176,280","257,310",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,3720520,0.3,,,,,68.33,142120,0.3,24.27,35.22,52.17,82.85,134.48,"50,480","73,260","108,510","172,330","279,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,204350,3.1,,,,,129.63,269630,1.9,36.39,62.28,102.88,171.25,244.1,"75,700","129,540","213,990","356,200","507,730",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,204350,3.1,,,,,129.63,269630,1.9,36.39,62.28,102.88,171.25,244.1,"75,700","129,540","213,990","356,200","507,730",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,3503020,0.3,,,,,64.87,134940,0.3,24.08,34.77,50.85,80.42,121.82,"50,090","72,320","105,770","167,280","253,390",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,3503020,0.3,,,,,64.87,134940,0.3,24.08,34.77,50.85,80.42,121.82,"50,090","72,320","105,770","167,280","253,390",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,1167460,0.6,,,,,80.73,167930,0.3,37.37,50.55,74.89,101.25,139.45,"77,730","105,140","155,780","210,600","290,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-10,Advertising and Promotions Managers,broad,21470,3.9,,,,,74.18,154280,3,30.43,43.93,64.26,96.66,137.62,"63,300","91,370","133,660","201,050","286,240",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-11,Advertising and Promotions Managers,detailed,21470,3.9,,,,,74.18,154280,3,30.43,43.93,64.26,96.66,137.62,"63,300","91,370","133,660","201,050","286,240",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-20,Marketing and Sales Managers,broad,1032320,0.7,,,,,81.49,169490,0.3,37.44,50.9,75.98,101.87,140.44,"77,870","105,860","158,040","211,890","292,100",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-21,Marketing Managers,detailed,395240,0.8,,,,,85.47,177770,0.3,43.39,59.15,80.19,104.04,141.16,"90,260","123,020","166,790","216,410","293,610",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-22,Sales Managers,detailed,637080,1.1,,,,,79.02,164350,0.4,35.18,48.25,71.28,99.68,139.68,"73,170","100,360","148,270","207,340","290,540",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-30,Public Relations and Fundraising Managers,broad,113670,1.2,,,,,75.15,156310,0.8,38.07,49.15,65.61,91.32,126.61,"79,180","102,230","136,470","189,950","263,340",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-32,Public Relations Managers,detailed,74850,1.8,,,,,79.21,164760,0.8,39.62,51.24,70.63,98.33,137.01,"82,410","106,580","146,910","204,520","284,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-33,Fundraising Managers,detailed,38810,1.4,,,,,67.32,140020,0.9,36.12,46.14,60.32,81.73,106.9,"75,130","95,970","125,470","169,990","222,350",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-00,Operations Specialties Managers,minor,2775810,0.3,,,,,79.49,165330,0.3,39.32,51.37,72.45,98.46,135.55,"81,790","106,860","150,690","204,790","281,950",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-10,Administrative Services and Facilities Managers,broad,420130,0.6,,,,,60.12,125040,0.4,31.7,40.68,53.13,72.22,95,"65,940","84,620","110,500","150,230","197,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-12,Administrative Services Managers,detailed,263960,1.2,,,,,62.44,129870,0.5,32.26,41.57,54.87,75.69,99.86,"67,100","86,460","114,130","157,420","207,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-13,Facilities Managers,detailed,156180,1.1,,,,,56.2,116890,0.5,31,39.43,51.28,66.76,84.67,"64,480","82,020","106,660","138,870","176,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-20,Computer and Information Systems Managers,broad,670570,0.5,,,,,92.39,192160,0.3,51.71,66.38,84.2,106.12,143.03,"107,550","138,060","175,140","220,730","297,510",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-21,Computer and Information Systems Managers,detailed,670570,0.5,,,,,92.39,192160,0.3,51.71,66.38,84.2,106.12,143.03,"107,550","138,060","175,140","220,730","297,510",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-30,Financial Managers,broad,841710,0.5,,,,,89.86,186910,0.4,45.34,60.33,80.08,105.76,155.42,"94,310","125,490","166,570","219,980","323,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-31,Financial Managers,detailed,841710,0.5,,,,,89.86,186910,0.4,45.34,60.33,80.08,105.76,155.42,"94,310","125,490","166,570","219,980","323,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-50,Industrial Production Managers,broad,246250,0.5,,,,,64.5,134170,0.3,37.5,47.19,60.61,77.83,98.81,"78,000","98,160","126,060","161,880","205,520",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-51,Industrial Production Managers,detailed,246250,0.5,,,,,64.5,134170,0.3,37.5,47.19,60.61,77.83,98.81,"78,000","98,160","126,060","161,880","205,520",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-60,Purchasing Managers,broad,84320,0.8,,,,,75.17,156360,0.4,44.47,55.55,71.19,87.63,107.35,"92,490","115,550","148,080","182,270","223,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-61,Purchasing Managers,detailed,84320,0.8,,,,,75.17,156360,0.4,44.47,55.55,71.19,87.63,107.35,"92,490","115,550","148,080","182,270","223,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-70,"Transportation, Storage, and Distribution Managers",broad,221180,0.9,,,,,58.46,121600,0.5,31.31,39.64,51.55,70.56,93.7,"65,120","82,440","107,230","146,770","194,900",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-71,"Transportation, Storage, and Distribution Managers",detailed,221180,0.9,,,,,58.46,121600,0.5,31.31,39.64,51.55,70.56,93.7,"65,120","82,440","107,230","146,770","194,900",,
